"STRAT","DMIN","DMAX","AREA","DEPTH","NAME"
"428",0,49,202,50,"4T"
"421",0,49,329,50,"4T"
"432",0,49,301,50,"4T"
"451",101,200,147,200,"4VSW"
"458",0,49,658,51,"4VSW"
"462",51,100,2116,128,"4VSW"
"473",0,49,265,50,"4X"
"492",51,100,1086,122,"4X"
"417",0,49,525,50,"4T"
"406",0,150,4650,150,"4W"
"410",0,100,2936,100,"4W"
"509",27,55,1522,55,"5Z"
"447",0,49,1616,50,"4VSW"
"554",0,100,2672,100,"5Z"
"5Z7",0,50,3199,50,"5Z"
"440",101,200,924,200,"4VN"
"436",0,49,958,50,"4T"
"466",101,200,226,200,"4VSW"
"470",51,100,920,118,"4X"
"477",51,100,1232,100,"4X"
"481",51,100,1875,100,"4X"
"510",56,110,2722,110,"5Z"
"425",101,200,630,150,"4T"
"551",100,200,3263,200,"5Z"
"5Z4",0,50,3079,50,"5Z"
"455",0,49,2122,50,"4VSW"
"433",0,49,1188,50,"4T"
"459",0,200,3148,173,"4VSW"
"444",51,100,3925,100,"4VSW"
"463",0,49,302,52,"4VSW"
"474",0,49,161,50,"4X"
"485",51,100,1582,113,"4X"
"403",0,150,3401,150,"4VS"
"555",0,50,2082,50,"5Z"
"429",0,49,1696,50,"4T"
"5Z1",51,100,795,100,"5Z"
"5Z8",51,100,2014,100,"5Z"
"418",0,49,394,50,"4T"
"441",51,100,1000,100,"4VN"
"452",101,200,345,200,"4VSW"
"471",101,200,1004,133,"4X"
"448",0,49,1449,51,"4VSW"
"478",101,200,233,200,"4X"
"482",101,200,1042,102,"4X"
"493",0,49,533,51,"4X"
"5Z5",51,100,2336,100,"5Z"
"411",100,200,379,200,"4W"
"511",111,183,622,183,"5Z"
"407",0,150,1763,150,"4W"
"437",51,100,495,100,"4T"
"552",50,100,1179,100,"5Z"
"426",51,100,388,100,"4T"
"456",0,49,955,63,"4VSW"
"460",51,100,1344,104,"4VSW"
"475",0,49,156,53,"4X"
"404",100,200,150,200,"4VS"
"415",101,200,764,150,"4T"
"490",0,49,601,55,"4X"
"556",0,100,6188,100,"5Z"
"445",101,200,1023,205,"4VSW"
"434",0,49,1211,50,"4T"
"423",0,49,3211,50,"4T"
"442",0,49,1437,50,"4VN"
"453",101,200,259,200,"4VSW"
"464",0,50,1297,51,"4VSW"
"401",0,150,2782,150,"4VS"
"419",0,49,443,50,"4T"
"483",101,200,532,201,"4X"
"494",0,49,417,48,"4X"
"408",0,100,3184,100,"4W"
"5Z2",0,50,1252,50,"5Z"
"449",51,100,144,100,"4VSW"
"438",51,100,168,100,"4T"
"420",0,49,773,50,"4T"
"431",0,50,1419,50,"4T"
"450",51,100,383,102,"4VSW"
"457",51,100,811,107,"4VSW"
"461",101,200,1154,148,"4VSW"
"472",51,100,1249,100,"4X"
"427",0,49,951,50,"4T"
"491",51,100,687,107,"4X"
"512",184,366,176,366,"5Z"
"422",0,49,1244,50,"4T"
"553",0,50,2712,50,"5Z"
"416",51,100,1067,100,"4T"
"5Z6",0,50,1638,50,"5Z"
"446",101,200,491,200,"4VSW"
"465",51,100,2383,100,"4VSW"
"476",51,100,1478,100,"4X"
"480",0,49,655,51,"4X"
"5Z3",0,50,2295,100,"5Z"
"557",0,100,795,30,"5Z"
"435",0,49,639,50,"4T"
"424",0,49,1050,50,"4T"
"454",51,100,499,100,"4VSW"
"443",0,49,1318,50,"4VSW"
"484",101,200,2264,142,"4X"
"495",0,49,584,50,"4X"
"402",0,200,3394,200,"4VS"
"409",0,50,1500,50,"4W"
"439",101,200,353,50,"4T"
"405",0,200,454,200,"4VS"
"U13",0,110,2374,110,"5Z"
"U14",0,183,656,183,"5Z"
"U15",0,366,230,366,"5Z"
"U16",0,110,2980,110,"5Z"
"U17",0,183,360,183,"5Z"
"U18",0,366,172,366,"5Z"
"U19",0,55,2454,55,"5Z"
"U20",0,55,1221,55,"5Z"
"U21",0,110,424,110,"5Z"
"U22",0,183,454,183,"5Z"
"U23",0,110,1016,110,"5Z"
"U24",0,183,2569,183,"5Z"
"U25",0,55,390,55,"5Z"
"U26",0,110,1014,110,"5Y"
"U27",0,183,720,183,"5Y"
"U28",0,366,2249,366,"5Y"
"U30",0,366,619,366,"5Z"
"U31",0,183,1875,183,"4X"
"U32",0,110,655,110,"4X"
"U33",0,110,861,110,"4X"
"U34",0,183,1766,183,"4X"
"U35",0,183,1097,183,"4X"
"U36",0,366,4069,366,"5Y"
"U37",0,183,2108,183,"5Y"
"U38",0,183,2560,183,"5Y"
"U39",0,110,730,110,"5Y"
"U40",0,110,578,110,"5Y"
"U41",0,183,1478,183,"4X"
"U42",0,110,161,110,"4X"
"U43",0,183,920,183,"4X"
"U44",0,366,1004,366,"4X"
"U45",0,110,156,110,"4X"
"U46",0,110,265,110,"4X"
"U47",0,183,1232,183,"4X"
"U48",0,183,1249,183,"4X"
"U49",0,183,233,183,"4X"
"C16",0,110,1574,110,"5Z"
"C17",0,183,284,183,"5Z"
"C18",0,366,125,366,"5Z"
"C21",0,110,206,110,"5Z"
"C22",0,183,122,183,"5Z"
"A16",0,110,1406,110,"5Z"
"A17",0,183,76,183,"5Z"
"A18",0,366,47,366,"5Z"
"A21",0,110,218,110,"5Z"
"A22",0,183,332,183,"5Z"
"U29",0,366,3245,366,"5Z"
"01130",0,110,2374,110,"5Z"
"01140",0,183,656,183,"5Z"
"01150",0,366,230,366,"5Z"
"01160",0,110,2980,110,"5Z"
"01170",0,183,360,183,"5Z"
"01180",0,366,172,366,"5Z"
"01190",0,55,2454,55,"5Z"
"01200",0,55,1221,55,"5Z"
"01210",0,110,424,110,"5Z"
"01220",0,183,454,183,"5Z"
"01230",0,110,1016,110,"5Z"
"01240",0,183,2569,183,"5Z"
"01250",0,55,390,55,"5Z"
"01260",0,110,1014,110,"5Y"
"01270",0,183,720,183,"5Y"
"01280",0,366,2249,366,"5Y"
"01300",0,366,619,366,"5Z"
"01290",0,366,3245,366,"5Z"
"01010",NA,NA,2516,NA,NA
"01020",NA,NA,2078,NA,NA
"01030",NA,NA,566,NA,NA
"01040",NA,NA,188,NA,NA
"01050",NA,NA,1475,NA,NA
"01060",NA,NA,2554,NA,NA
"01070",NA,NA,514,NA,NA
"01080",NA,NA,230,NA,NA
"01090",NA,NA,1522,NA,NA
"01100",NA,NA,2722,NA,NA
"01110",NA,NA,622,NA,NA
"01120",NA,NA,176,NA,NA
"01310",NA,NA,1875,NA,NA
"01320",NA,NA,655,NA,NA
"01330",NA,NA,861,NA,NA
"01340",NA,NA,1766,NA,NA
"01350",NA,NA,1097,NA,NA
"01360",NA,NA,4069,NA,NA
"01370",NA,NA,2108,NA,NA
"01380",NA,NA,2560,NA,NA
"01390",NA,NA,730,NA,NA
"01400",NA,NA,578,NA,NA
"01410",NA,NA,3752,NA,NA
"01420",NA,NA,589,NA,NA
"01490",NA,NA,233,NA,NA
"01351",NA,NA,533,NA,NA
"396",201,275,NA,NA,NA
"496",200,400,311,300,"4VSc"
"497",200,400,508,300,"4Wgj"
"498",200,400,476,300,"4Wlx"
"802",200,299,100,200,"4XP"
"803",300,399,100,300,"4XP"
"804",400,499,100,400,"4XP"
"805",500,599,100,500,"4XP"
"806",600,699,100,600,"4XP"
"807",700,799,100,700,"4XP"
"808",800,899,100,800,"4XP"
"809",900,999,100,900,"4XP"
"812",200,299,100,200,"4XN"
"813",300,399,100,300,"4XN"
"814",400,499,100,400,"4XN"
"815",500,599,100,500,"4XN"
"816",600,699,100,600,"4XN"
"817",700,799,100,700,"4XN"
"818",800,899,100,800,"4XN"
"819",900,999,100,900,"4XN"
"822",200,299,100,200,"4WL"
"823",300,399,100,300,"4WL"
"824",400,499,100,400,"4WL"
"825",500,599,100,500,"4WL"
"826",600,699,100,600,"4WL"
"827",700,799,100,700,"4WL"
"828",800,899,100,800,"4WL"
"829",900,999,100,900,"4WL"
"832",200,299,100,200,"4WJ"
"833",300,399,100,300,"4WJ"
"834",400,499,100,400,"4WJ"
"835",500,599,100,500,"4WJ"
"836",600,699,100,600,"4WJ"
"837",700,799,100,700,"4WJ"
"838",800,899,100,800,"4WJ"
"839",900,999,100,900,"4WJ"
"842",200,299,100,200,"4WG"
"843",300,399,100,300,"4WG"
"844",400,499,100,400,"4WG"
"845",500,599,100,500,"4WG"
"846",600,699,100,600,"4WG"
"847",700,799,100,700,"4WG"
"848",800,899,100,800,"4WG"
"849",900,999,100,900,"4WG"
"852",200,299,100,200,"4VSC"
"853",300,399,100,300,"4VSC"
"854",400,499,100,400,"4VSC"
"855",500,599,100,500,"4VSC"
"856",600,699,100,600,"4VSC"
"857",700,799,100,700,"4VSC"
"858",800,899,100,800,"4VSC"
"859",900,999,100,900,"4VSC"
"862",200,299,100,200,"4VSB"
"863",300,399,100,300,"4VSB"
"864",400,499,100,400,"4VSB"
"865",500,599,100,500,"4VSB"
"866",600,699,100,600,"4VSB"
"867",700,799,100,700,"4VSB"
"868",800,899,100,800,"4VSB"
"869",900,999,100,900,"4VSB"
"872",200,299,100,200,"4VN"
"873",300,399,100,300,"4VN"
"874",400,499,100,400,"4VN"
"875",500,599,100,500,"4VN"
"876",600,699,100,600,"4VN"
"877",700,799,100,700,"4VN"
"878",800,899,100,800,"4VN"
"879",900,999,100,900,"4VN"
"467",0,100,585,128,"4VSW"
"468",0,50,518,93,"4VSW"
"469",0,50,615,50,"4VSW"
"499",10,50,2158,44,"4XITQ"
"397",201,250,540,250,"4VSb"
"398",201,300,833,300,"4VSc"
"399",201,300,465,300,"4VSc"
"400",201,250,270,250,"4VSb"
"01610",NA,NA,1318,NA,NA
"01620",NA,NA,243,NA,NA
"01630",NA,NA,86,NA,NA
"01640",NA,NA,60,NA,NA
"01650",NA,NA,2832,NA,NA
"01660",NA,NA,555,NA,NA
"01670",NA,NA,86,NA,NA
"01680",NA,NA,52,NA,NA
"01690",NA,NA,2433,NA,NA
"01700",NA,NA,1024,NA,NA
"01710",NA,NA,281,NA,NA
"01720",NA,NA,105,NA,NA
"01730",NA,NA,2145,NA,NA
"01740",NA,NA,1273,NA,NA
"01750",NA,NA,139,NA,NA
"01760",NA,NA,60,NA,NA
"5Z9",100,200,681,132,"5Z"
"501",410,547,501,NA,NA
"502",547,584,281,NA,NA
"503",584,820,1204,NA,NA
"504",820,957,707,NA,NA
"505",957,1094,680,NA,NA
"558",200,400,2241,233,"4VN"
"559",200,400,2320,235,"4V"
"560",100,400,130,252,"5Z"
"5Z31",0,50,1208,100,"5Z"
"5Z32",0,50,476,100,"5Z"
"5Z33",0,50,382,100,"5Z"
"5Z41",0,50,1272,50,"5Z"
"5Z42",0,50,1847,50,"5Z"
"5Z34",0,50,433,100,"5Z"
